date,temp_max,temp_min,humidity,rainfall,wind_speed,temp_stress,humidity_risk,disease_risk
2024-11-13,24.7,16.5,49.4,0.39,15.8,0,0.0,0.012
2024-11-14,27.1,18.4,86.7,0.12,12.6,0,0.557,0.226
2024-11-15,29.2,16.9,44.8,0.01,13.8,0,0.0,0.0
2024-11-16,27.7,15.4,57.2,0.2,16.2,0,0.0,0.006
2024-11-17,29.3,16.9,39.8,0.4,6.7,0,0.0,0.012
2024-11-18,26.7,18.1,44.8,0.11,9.2,0,0.0,0.003
2024-11-19,23.6,19.9,48.9,0.9,14.0,0,0.0,0.027
2024-11-20,29.5,17.9,64.3,0.29,14.0,0,0.0,0.009
2024-11-21,29.8,14.3,41.5,0.06,12.2,0,0.0,0.002
2024-11-22,26.3,18.6,55.4,0.02,15.6,0,0.0,0.001
2024-11-23,26.8,19.8,76.9,0.05,15.1,0,0.231,0.094
2024-11-24,26.4,16.2,68.0,0.27,7.5,0,0.0,0.008
2024-11-25,25.8,17.2,59.6,0.04,13.8,0,0.0,0.001
2024-11-26,28.1,16.8,74.9,0.03,18.0,0,0.163,0.066
2024-11-27,24.0,20.0,78.3,0.21,9.1,0,0.275,0.116
2024-11-28,26.5,17.1,64.8,0.2,15.6,0,0.0,0.006
2024-11-29,29.9,16.8,84.9,0.25,8.6,0,0.495,0.206
2024-11-30,28.7,18.2,73.9,0.57,15.3,0,0.129,0.069
